trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
124,False,"{'a': 0.1, 'e': 0.7334469562242892}",20,14,-7.1443268197763965,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.1, 'e': 0.7316156289466418}",30,0,-16.93622157532808,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
126,False,"{'a': 0.1, 'e': 0.7297888742690568}",20,0,-75.64286138170094,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
127,False,"{'a': 0.1, 'e': 0.7279666807743116}",25,12,-34.226328851408624,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 0}",1
128,False,"{'a': 0.1, 'e': 0.7261490370736909}",30,0,-144.90890789291836,"{0: 21, 1: 2, 2: 2, 3: 3, 4: 2}",0
129,False,"{'a': 0.1, 'e': 0.7243359318069157}",20,0,-86.91974587365334,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
130,False,"{'a': 0.1, 'e': 0.7225273536420722}",30,8,-42.63664141495634,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
131,False,"{'a': 0.1, 'e': 0.7207232912755409}",20,0,-52.06028659834497,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
132,False,"{'a': 0.1, 'e': 0.7189237334319262}",20,0,-99.02849221611983,"{0: 10, 1: 3, 2: 4, 3: 3, 4: 0}",0
133,False,"{'a': 0.1, 'e': 0.7171286688639856}",30,12,-6.342180993391571,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.1, 'e': 0.7153380863525599}",30,0,-77.46193824911745,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
135,False,"{'a': 0.1, 'e': 0.7135519747065024}",25,0,-106.49540303273724,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
136,False,"{'a': 0.1, 'e': 0.7117703227626097}",20,3,-174.43270820404342,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 4}",1
137,False,"{'a': 0.1, 'e': 0.7099931193855512}",20,0,-102.51140972005959,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
138,False,"{'a': 0.1, 'e': 0.7082203534678}",20,6,-52.7872877058086,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
139,False,"{'a': 0.1, 'e': 0.7064520139295634}",20,0,-78.6625956940864,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
140,False,"{'a': 0.1, 'e': 0.7046880897187134}",20,2,-41.443276949075646,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
141,False,"{'a': 0.1, 'e': 0.7029285698107182}",20,0,-33.8966755805131,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
142,False,"{'a': 0.1, 'e': 0.7011734432085724}",25,0,-23.565446533682305,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
143,False,"{'a': 0.1, 'e': 0.6994226989427291}",20,0,-52.38990702620123,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
144,False,"{'a': 0.1, 'e': 0.697676326071031}",20,0,-12.421725428261883,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
145,False,"{'a': 0.1, 'e': 0.695934313678642}",25,0,-37.27516879466285,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
146,False,"{'a': 0.1, 'e': 0.6941966508779789}",25,10,-6.859160492949044,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 0.1, 'e': 0.6924633268086434}",20,0,-24.68399722071465,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
148,False,"{'a': 0.1, 'e': 0.6907343306373547}",20,10,-48.71033802366653,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
149,False,"{'a': 0.1, 'e': 0.6890096515578809}",20,0,-129.92718835407385,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
150,False,"{'a': 0.1, 'e': 0.6872892787909722}",25,0,-97.59564863270852,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
151,False,"{'a': 0.1, 'e': 0.6855732015842932}",20,0,-178.33010191330334,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
152,False,"{'a': 0.1, 'e': 0.6838614092123558}",30,0,-147.24730616112248,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
153,False,"{'a': 0.1, 'e': 0.6821538909764522}",30,12,-60.28190373409315,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
154,False,"{'a': 0.1, 'e': 0.6804506362045877}",20,11,1.4011751734871707,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.1, 'e': 0.6787516342514144}",25,9,-91.19226121643183,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 2}",1
156,False,"{'a': 0.1, 'e': 0.6770568744981647}",20,0,-61.27123382440748,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
157,False,"{'a': 0.1, 'e': 0.6753663463525845}",20,0,-173.26514277041264,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
158,False,"{'a': 0.1, 'e': 0.6736800392488677}",25,0,-74.20578218293637,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
